RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a2_x1,a2_x2,a2_x3,a2_x4,a3_x1,a3_x2,a3_x3,a3_x4
99556,17,7,7,2,1,1,3,6,2,2,1,1,1,1,1,1
99556,8,4,4,1,3,1,2,3,1,2,3,4,1,1,1,1
99556,1,9,9,2,1,1,1,1,2,2,2,2,1,1,1,1
99556,3,8,8,1,3,3,3,1,1,1,1,2,1,1,1,1
99556,10,6,6,2,1,2,2,4,2,3,3,5,1,1,1,1
99556,13,2,2,1,3,2,3,5,1,3,1,6,1,1,1,1
99556,16,5,5,2,3,3,2,6,1,1,3,1,1,1,1,1
99556,11,3,3,1,2,3,3,4,3,1,1,5,1,1,1,1
99556,5,1,1,1,3,2,1,2,1,3,2,3,1,1,1,1
99540,7,3,3,3,2,3,1,3,3,1,2,4,1,1,1,1
99540,2,1,1,1,2,2,2,1,3,3,3,2,1,1,1,1
99540,15,8,8,3,2,1,2,5,3,2,3,6,1,1,1,1
99540,4,5,5,3,2,1,3,2,3,2,1,3,1,1,1,1
99540,9,6,6,3,1,2,3,3,2,3,1,4,1,1,1,1
99540,3,2,2,1,3,3,3,1,1,1,1,2,1,1,1,1
99540,12,9,9,3,3,1,1,4,1,2,2,5,1,1,1,1
99540,14,4,4,3,1,3,1,5,2,1,2,6,1,1,1,1
99540,18,7,7,1,2,2,1,6,3,3,2,1,1,1,1,1
105966,3,7,7,1,3,3,3,1,1,1,1,2,1,1,1,1
105966,6,4,4,1,2,3,1,2,3,1,2,3,1,1,1,1
105966,4,9,9,1,3,1,2,2,1,2,3,3,1,1,1,1
105966,18,5,5,2,1,2,2,6,2,3,3,1,1,1,1,1
105966,9,6,6,1,3,2,1,3,1,3,2,4,1,1,1,1
105966,10,2,2,2,2,2,1,4,3,3,2,5,1,1,1,1
105966,16,8,8,2,2,3,3,6,3,1,1,1,1,1,1,1
105966,5,3,3,2,1,2,3,2,2,3,1,3,1,1,1,1
105966,12,1,1,2,1,1,3,4,2,2,1,5,1,1,1,1
104140,15,9,9,2,2,1,2,5,3,2,3,6,1,1,1,1
104140,7,7,7,2,1,3,2,3,2,1,3,4,1,1,1,1
104140,18,4,4,1,1,2,2,6,2,3,3,1,1,1,1,1
104140,9,6,6,1,3,2,1,3,1,3,2,4,1,1,1,1
104140,4,5,5,2,3,1,2,2,1,2,3,3,1,1,1,1
104140,6,8,8,2,2,3,1,2,3,1,2,3,1,1,1,1
104140,12,2,2,2,1,1,3,4,2,2,1,5,1,1,1,1
104140,14,3,3,2,1,3,1,5,2,1,2,6,1,1,1,1
104140,2,1,1,1,2,2,2,1,3,3,3,2,1,1,1,1
109003,15,4,4,1,2,1,2,5,3,2,3,6,1,1,1,1
109003,4,7,7,2,3,1,2,2,1,2,3,3,1,1,1,1
109003,12,9,9,3,1,1,3,4,2,2,1,5,1,1,1,1
109003,14,3,3,3,1,3,1,5,2,1,2,6,1,1,1,1
109003,2,1,1,1,2,2,2,1,3,3,3,2,1,1,1,1
109003,9,8,8,1,3,2,1,3,1,3,2,4,1,1,1,1
109003,7,2,2,2,1,3,2,3,2,1,3,4,1,1,1,1
109003,1,5,5,2,1,1,1,1,2,2,2,2,1,1,1,1
109003,18,6,6,2,1,2,2,6,2,3,3,1,1,1,1,1
109306,2,7,7,2,2,2,2,1,3,3,3,2,1,1,1,1
109306,18,9,9,2,1,2,2,6,2,3,3,1,1,1,1,1
109306,17,4,4,1,3,1,1,6,1,2,2,1,1,1,1,1
109306,9,8,8,2,3,2,1,3,1,3,2,4,1,1,1,1
109306,13,2,2,2,3,2,3,5,1,3,1,6,1,1,1,1
109306,5,5,5,2,1,2,3,2,2,3,1,3,1,1,1,1
109306,1,6,6,2,1,1,1,1,2,2,2,2,1,1,1,1
109306,15,3,3,2,2,1,2,5,3,2,3,6,1,1,1,1
109306,14,1,1,2,1,3,1,5,2,1,2,6,1,1,1,1
109308,13,9,9,1,3,2,3,5,1,3,1,6,1,1,1,1
109308,8,7,7,2,2,1,3,3,3,2,1,4,1,1,1,1
109308,17,4,4,1,3,1,1,6,1,2,2,1,1,1,1,1
109308,12,8,8,2,1,1,3,4,2,2,1,5,1,1,1,1
109308,10,6,6,1,2,2,1,4,3,3,2,5,1,1,1,1
109308,11,5,5,1,3,3,2,4,1,1,3,5,1,1,1,1
109308,3,2,2,1,3,3,3,1,1,1,1,2,1,1,1,1
109308,7,1,1,2,1,3,2,3,2,1,3,4,1,1,1,1
109308,4,3,3,2,3,1,2,2,1,2,3,3,1,1,1,1
109610,15,4,4,3,2,1,2,5,3,2,3,6,1,1,1,1
109610,5,7,7,3,1,2,3,2,2,3,1,3,1,1,1,1
109610,3,9,9,3,3,3,3,1,1,1,1,2,1,1,1,1
109610,6,2,2,3,2,3,1,2,3,1,2,3,1,1,1,1
109610,1,6,6,3,1,1,1,1,2,2,2,2,1,1,1,1
109610,2,8,8,3,2,2,2,1,3,3,3,2,1,1,1,1
109610,10,5,5,3,2,2,1,4,3,3,2,5,1,1,1,1
109610,14,1,1,3,1,3,1,5,2,1,2,6,1,1,1,1
109610,16,3,3,3,2,3,3,6,3,1,1,1,1,1,1,1
109638,11,4,4,3,3,3,2,4,1,1,3,5,1,1,1,1
109638,16,7,7,2,2,3,3,6,3,1,1,1,1,1,1,1
109638,7,9,9,1,1,3,2,3,2,1,3,4,1,1,1,1
109638,4,3,3,2,3,1,2,2,1,2,3,3,1,1,1,1
109638,15,1,1,3,2,1,2,5,3,2,3,6,1,1,1,1
109638,9,8,8,1,3,2,1,3,1,3,2,4,1,1,1,1
109638,6,6,6,2,2,3,1,2,3,1,2,3,1,1,1,1
109638,13,2,2,3,3,2,3,5,1,3,1,6,1,1,1,1
109638,12,5,5,3,1,1,3,4,2,2,1,5,1,1,1,1
109107,7,4,4,1,1,3,2,3,2,1,3,4,1,1,1,1
109107,6,3,3,2,2,3,1,2,3,1,2,3,1,1,1,1
109107,11,1,1,1,3,3,2,4,1,1,3,5,1,1,1,1
109107,8,5,5,,2,1,3,3,3,2,1,4,1,1,1,1
109107,2,2,2,2,2,2,2,1,3,3,3,2,1,1,1,1
